CUSIP,TICKER,SEDOL,ISIN,DESCRIPTION,CUR,ISO,SHARES,ORIGINAL_FACE,INTEREST,LOCAL_PRICE,LOCAL_MV,FOREX,BASE_PRICE,BASE_MV,WEIGHT,CIL,EST_DIVIDEND,LOT,NEW,SHARE_CHANGE,INT_FACTOR,PAR_ADJUSTMENT_FACTOR
'001084102,'AGCO,'2010278,US0010841023,AGCO CORP,USD,US,582,,0,65.98,38400.36,1,65.98,38400.36,1.21342788,N,0,1,Y,582,0,1
'020745907,'GNS1,'0207458,GB0002074580,GENUS PLC,GBP,GB,560,,0,23.9,13384,0.756029,31.612544,17703.02,0.5594046,N,0,1,Y,560,0,1
'034164103,'ANDE,'2274922,US0341641035,ANDERSONSINC/THE,USD,US,180,,0,35.16,6328.8,1,35.16,6328.8,0.19998621,N,0,1,Y,180,0,1
'039483102,'ADM,'2047317,US0394831020,ARCHER DANIELS MIDLAND CO,USD,US,4167,,0,43.35,180639.45,1,43.35,180639.45,5.70809607,N,0,1,Y,4167,0,1
'057665200,'BCPC,'2072074,US0576652004,BALCHEM CORP,USD,US,219,,0,93.09,20386.71,1,93.09,20386.71,0.64420756,N,0,1,Y,219,0,1
'125269100,'CF,'B0G4K50,US1252691001,CF INDUSTRIES HOLDINGS INC,USD,US,1367,,0,42.71,58384.57,1,42.71,58384.57,1.84491668,N,0,1,Y,1367,0,1
'244199105,'DE,'2261203,US2441991054,DEERE + CO,USD,US,1615,,0,157.76,254782.4,1,157.76,254782.4,8.05096792,N,0,1,Y,1615,0,1
'28414H103,'ELAN,'BF5L3T2,US28414H1032,ELANCO ANIMAL HEALTH INC W/I,USD,US,788,,0,30.31,23884.28,1,30.31,23884.28,0.75472863,N,0,1,Y,788,0,1
'28618M106,,'BJ1C2K1,US28618M1062,ELEMENT SOLUTIONS INC,USD,US,1335,,0,10.7,14284.5,1,10.7,14284.5,0.45138146,N,0,1,Y,1335,0,1
'302491303,'FMC,'2328603,US3024913036,FMC CORP,USD,US,1117,,0,77.16,86187.72,1,77.16,86187.72,2.72347921,N,0,1,Y,1117,0,1
'45168D104,'IDXX,'2459202,US45168D1046,IDEXX LABORATORIES INC,USD,US,669,,0,210.87,141072.03,1,210.87,141072.03,4.45778981,N,0,1,Y,669,0,1
'469191902,'LSG,'4691916,NO0003096208,LEROY SEAFOOD GROUP ASA,NOK,NO,2695,,0,66.5,179217.5,8.57365,7.756323,20903.29,0.66053117,N,0,1,Y,2695,0,1
'569085905,'SCHO,'5690859,DK0010253921,SCHOUW & CO A/S,DKK,DK,140,,0,506.5,70910,6.60195,76.719757,10740.77,0.33940176,N,0,1,Y,140,0,1
'610943904,'1722,'6109439,TW0001722007,TAIWAN FERTILIZER CO LTD,TWD,TW,8000,,0,45.1,360800,30.902,1.459452,11675.62,0.36894245,Y,0,1,Y,8000,0,1
'616447900,'GGR,'6164472,MU0117U00026,GOLDEN AGRI RESOURCES LTD,SGD,SG,52100,,0,0.28,14588,1.3559,0.206505,10758.91,0.33997497,N,0,1,Y,52100,0,1
'61945C103,'MOS,'B3NPHP6,US61945C1036,MOSAIC CO/THE,USD,US,3114,,0,28.38,88375.32,1,28.38,88375.32,2.79260603,N,0,1,Y,3114,0,1
'631534906,'CPIN,'6315344,ID1000117708,CHAROEN POKPHAND INDONESI PT,IDR,ID,77700,,0,7550,586635000,14267,0.529193,41118.3,1.29931312,N,0,1,Y,77700,0,1
'633533906,'NUF,'6335331,AU000000NUF3,NUFARM LTD,AUD,AU,1922,,0,5.21,10013.62,1.415328,3.681126,7075.12,0.22356946,N,0,1,Y,1922,0,1
'640491106,'NEOG,'2630085,US6404911066,NEOGEN CORP,USD,US,363,,0,60.65,22015.95,1,60.65,22015.95,0.69569055,N,0,1,Y,363,0,1
'641087903,'CPF-R,'6410874,TH0101010R14,CHAROEN POKPHAND FOODS NVDR,THB,TH,51900,,0,26,1349400,31.74,0.819156,42514.2,1.3434227,N,0,1,Y,51900,0,1
'641900907,'041960,'6419008,KR7041960006,KOMIPHARMINTERNATIONAL CO,KRW,KR,407,,0,26600,10826200,1134.7,23.44232,9541.02,0.30149039,Y,0,1,Y,407,0,1
'649744000,'KLK,'6497446,MYL2445OO004,KUALA LUMPUR KEPONG BHD,MYR,MY,4100,,0,24.86,101926,4.0925,6.074527,24905.56,0.78700045,Y,0,1,Y,4100,0,1
'649750007,'6326,'6497509,JP3266400005,KUBOTA CORP,JPY,JP,9600,,0,1532.5,14712000,111.705,13.719171,131704.04,4.16176706,N,0,1,Y,9600,0,1
'664076007,'2282,'6640767,JP3743000006,NH FOODS LTD,JPY,JP,800,,0,3900,3120000,111.705,34.913388,27930.71,0.88259334,N,0,1,Y,800,0,1
'664092004,'1332,'6640927,JP3718800000,NIPPON SUISAN KAISHA LTD,JPY,JP,2600,,0,804,2090400,111.705,7.197529,18713.58,0.59133768,N,0,1,Y,2600,0,1
'667304901,'IPL,'6673042,AU000000IPL1,INCITEC PIVOT LTD,AUD,AU,12467,,0,3.31,41265.77,1.415328,2.338681,29156.34,0.9213225,N,0,1,Y,12467,0,1
'668166002,'PEP,'6681669,MYL4065OO008,PPB GROUPBERHAD,MYR,MY,5700,,0,18.14,103398,4.0925,4.432498,25265.24,0.79836612,Y,0,1,Y,5700,0,1
'67077M108,'NTR,'BDH3SB9,CA67077M1086,NUTRIEN LTD,USD,US,4399,,0,53.66,236050.34,1,53.66,236050.34,7.45904628,N,0,1,Y,4399,0,1
'72147K108,'PPC,'B5L3PZ2,US72147K1088,PILGRIM SPRIDE CORP,USD,US,590,,0,20.89,12325.1,1,20.89,12325.1,0.38946562,N,0,1,Y,590,0,1
'775125909,'YAR,'7751259,NO0010208051,YARA INTERNATIONAL ASA,NOK,NO,1883,,0,358.5,675055.5,8.57365,41.814163,78736.07,2.48801163,N,0,1,Y,1883,0,1
'800013104,'SAFM,'2774336,US8000131040,SANDERSONFARMS INC,USD,US,148,,0,127.5,18870,1,127.5,18870,0.59628045,N,0,1,Y,148,0,1
'833635105,'SQM,'2771122,US8336351056,QUIMICA YMINERA CHIL SP ADR,USD,US,1297,,0,40.28,52243.16,1,40.28,52243.16,1.65085188,N,0,1,Y,1297,0,1
'891092108,'TTC,'2897040,US8910921084,TORO CO,USD,US,853,,0,67.39,57483.67,1,67.39,57483.67,1.81644879,N,0,1,Y,853,0,1
'892356106,'TSCO,'2900335,US8923561067,TRACTOR SUPPLY COMPANY,USD,US,1091,,0,90.4,98626.4,1,90.4,98626.4,3.11653388,N,0,1,Y,1091,0,1
'902494103,'TSN,'2909730,US9024941034,TYSON FOODS INC CL A,USD,US,2193,,0,64.88,142281.84,1,64.88,142281.84,4.49601907,N,0,1,Y,2193,0,1
'932GJZ902,'SDPL,'BF6RHY2,MYL5285OO001,SIME DARBYPLANTATION BHD,MYR,MY,28600,,0,5.07,145002,4.0925,1.238852,35431.17,1.11960329,Y,0,100,Y,28600,0,1
'98978V103,'ZTS,'B95WG16,US98978V1035,ZOETIS INC,USD,US,2637,,0,96.2,253679.4,1,96.2,253679.4,8.01611379,N,0,1,Y,2637,0,1
'ACI00RQT4,'SDF,'B54C017,DE000KSAG888,K+S AG,EUR,DE,2062,,0,17.005,35064.31,0.884682,19.221596,39634.93,1.25243953,N,0,1,Y,2062,0,1
'ACI07YZS4,'1333,'BKGHM19,JP3876600002,MARUHA NICHIRO CORP,JPY,JP,400,,0,3930,1572000,111.705,35.181952,14072.78,0.44469124,N,0,100,Y,400,0,1
'B01B1L907,'2319,'B01B1L9,KYG210961051,CHINA MENGNIU DAIRY CO,HKD,HK,19000,,0,24.75,470250,7.85,3.152866,59904.45,1.89294396,N,0,1,Y,19000,0,1
